name,sunlight,water,soil,placements,difficulty,spacing_down,spacing_across,spacing_between,fertilise,care_1,care_2,care_3,sow,plant_hoe,harvest,harvest_signs,sow_start,sow_end,plant_start,plant_end,harvest_start,harvest_end
Tomatoes,Full Sun,Frequent,Loamy,Trellis,Medium,45,45,60,"Tomato fertiliser high in potassium, every 10–14 days after first flowers.",Support the plant as it grows.,Pinch new shoots at the junction between main stem and branches. ,Remove lower leaves to focus energy on fruit growth. ,Feb - Apr,May - Jun,Jul - Oct,Fruits are full in colour. Firm but not too hard. Tomatoes happily come off the stem.,2,4,5,6,7,10
Potatoes,Full Sun,Moderate,All Purpose,Container,Easy,30,30,60,"General-purpose potato fertiliser or blood fish & bone, at planting and again at flowering.",Water during flowering.,Remove Flowers.,Protect against slugs.,Feb - Apr,Mar - May,Jun - Sep,Leaves turn yellow and die back.,2,4,3,5,6,9
Green beans,Full Sun,Moderate,Loamy,Trellis,Easy,15,15,45,"Balanced vegetable fertiliser, every 3–4 weeks once flowering starts.",Provide support as the plant grows. ,Pick regularly for continous harvest.,Add mulch to the base of the plant.,Apr - Jun,May - Jul,Jul - Sep,Pods are firm.,4,6,5,7,7,9
Carrots,Full Sun,Moderate,Sandy,Container,Easy,6,6,20,Avoid high nitrogen; rake in general fertiliser before sowing only.,Keep weed free.,Using loose sandy soil is important. ,Thin out seedlings during planting phase. ,Feb - Jul,Mar - Jul,Jun - Nov,The carrot is full in size and bright in colour.,2,7,3,7,6,11
Garlic,Full Sun,Infrequent,Sandy,Container,Easy,10,10,20,Light feed with general fertiliser at planting; no further feed needed.,Keep weed free.,Water when dry.,Stop watering before harvest.,Oct - Jan,Nov - Mar,Jun - Aug,The tops above ground are yellow/brown and begin to flop.,9,1,11,3,6,7
Lettuce,Partial Sun,Moderate,All Purpose,Container,Easy,20,20,25,Balanced liquid feed every 2–3 weeks.,Keep soil moist.,Pick outter leaves for continuous harvest.,"Add 2-3"" mulch around lettuce for water retention.",Mar - Aug,Apr - Sep,May - Oct,"When leaves are 3-6"" in size. ",3,8,4,9,5,10
Radishes,Full Sun,Moderate,All Purpose,Container,Easy,5,5,15,None needed if soil is fertile.,Keep moist.,Thin out seedlings during planting phase. ,"If left in the ground too long, they become tough and woody in flavour. ",Feb - Sep,Mar - Sep,Apr - Oct,"The top of the radish will become visisble and be about 1"" in width. ",2,9,3,9,4,9
Courgettes,Full Sun,Frequent,Loamy,Container,Easy,90,90,100,High-potassium feed (tomato fertiliser) every 10–14 days after first flowers.,Harvest regularly.,Water around the base of the plant.,Add mulch to the base of the plant.,Apr - May,May - Jun,Jun - Oct,"Glossy fruits 4-6"" long.",4,5,5,6,6,10
Spinach ,Partial Sun,Moderate,All Purpose,Container,Easy,25,25,30,General-purpose liquid feed every 3–4 weeks.,Keep moist.,Pick regularly for continous harvest.,Harvest outer leaves first. ,Mar - Aug,Apr - Sep,May - Nov,Leaves large enough for picking.,3,8,4,9,5,11
Beetroot,Full Sun,Moderate,All Purpose,Container,Easy,10,10,25,Light general feed at sowing; no further feed unless soil poor.,Keep weed free.,Thin out seedlings during planting phase. ,Maintain consistent moisture but not water logged. ,Mar - Jul,Apr - Jul,Jun - Oct,"The top of beetroot will be visible and is 2-3"" in width. ",3,7,4,7,6,10